id_unificado,COD_MPIO_DIVIPOLA,codigo_departamento_divipola,nombre_departamento,nombre_municipio,tipo_entidad_divipola,longitud_divipola,latitud_divipola,nota_divipola,area_m2,pixeles_con_viento,pixeles_con_viento_tocan_al_mpio,densidad_pixeles_general,area_reserva_campesina_ha,indice_pobreza_multidimensional,asesinatos_100k_habitantes,grupos_armados_en_el_mpio,cantidad_grupos_armados_en_el_mpio,es_zomac,es_pdet,zomac_priorizados_art_170,zomac_priorizados_art_52,densidad_cultivos_coca_ha_km2,dist_min_coca_km,indice_pena_media_0_100,pocentaje_negro,pocentaje_raizal,pocentaje_gitano,pocentaje_palanquero,pocentaje_indigena,indice_pena_media_0_100_imputado_para_risk,coca_log,cercania_coca,z_indice_pena_media,z_cantidad_grupos_armados,z_coca_log,z_cercania_coca,risk_raw_seguridad,risk_score_01_calculado,riesgo_categoria,tipo_abordaje_zona,densidad_pixeles_disponibles_pct_exacta,universo_111_densidad_gt15,check_imputacion_indice_pena_media_0_100,check_cruce_divipola,check_imputacion_risk_score,observacion_validacion
5093,05093,5,ANTIOQUIA,BETULIA,Municipio,-75.984452,6.115208,,266911110.5414457,0,8,0.19,0.0000,"53,1",66.2490966,,0,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,92.44,57.52,0.4711659698719225,0.0,0.0,0.0,0.1791757913597451,57.52,0.0,0.01070205,0.64948104,-0.60931468,-0.43744925,-0.49261413,-0.11685801,0.28965819,Medio,Presencial con precaución,0.0,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5101,05101,5,ANTIOQUIA,CIUDAD BOLÍVAR,Municipio,-76.021509,5.850273,,264608267.38709372,53,55,1.3,0.0000,40.4,75.78218036,EGC,1,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,63.60654934,70.72,0.814346357099541,0.0,0.0,0.0,1.095902278437148,70.72,0.0,0.01547831,1.44084936,0.82391607,-0.43744925,-0.47973884,0.59202142,0.45955893,Alto,Remota,1.25,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5107,05107,5,ANTIOQUIA,BRICEÑO,Municipio,-75.55036,7.112803,,384446083.87358713,642,685,11.14,0.0000,"55,4",46.93183151,EGC,1,1.0,1.0,ZOMAC-170,DAILD-52,53.35,0.0,53.17,0.5045408678102926,0.0,0.0,0.0168180289270097,0.0504540867810292,53.17,3.99544461,1.0,0.38868921,0.82391607,2.5910442,2.17422517,1.22755866,0.61188138,Alto,Remota,10.44,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5113,05113,5,ANTIOQUIA,BURITICÁ,Municipio,-75.907,6.720759,,362266027.5944268,447,514,8.87,0.0000,"51,3",19.9660577,EGC,1,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,37.06,65.23,0.3664495114006514,0.0,0.0,0.0,0.0,65.23,0.0,0.0262743,1.11171208,0.82391607,-0.43744925,-0.45063619,0.48118877,0.43299511,Alto,Remota,7.71,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5120,05120,5,ANTIOQUIA,CÁCERES,Municipio,-75.35205,7.578366,,1919387431.468045,0,0,0.0,0.0002,"66,4",86.64955071,EGC,1,1.0,1.0,ZOMAC-170,DAILD-52,64.1,0.0,47.96,2.274119448698316,0.0114854517611026,0.0,0.0,6.4050535987748844,47.96,4.17592455,1.0,0.07633853,0.82391607,2.72784557,2.17422517,1.1455962,0.59223702,Alto,Remota,0.0,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5125,05125,5,ANTIOQUIA,CAICEDO,Municipio,-75.98293,6.405607,,203771504.71092504,3,10,0.31,0.0000,54.6,11.27395716,,0,1.0,0.0,No,No,0.0,75.1367239,56.54,0.2280826799714896,0.0,0.0,0.0,0.0142551674982181,56.54,0.0,0.01313427,0.59072794,-0.60931468,-0.43744925,-0.48605764,-0.13643812,0.28496532,Medio,Presencial con precaución,0.09,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5129,05129,5,ANTIOQUIA,CALDAS,Municipio,-75.633673,6.091077,,135035789.85490477,24,30,1.39,0.0000,"16,0",17.42544812,,0,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,61.25,63.29,0.5291492806465625,0.0,0.0,0.0065814587145094,0.0302747100867436,63.29,0.0,0.01606426,0.99540492,-0.60931468,-0.43744925,-0.4781593,0.00638357,0.31919613,Medio,Presencial con precaución,1.11,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5134,05134,5,ANTIOQUIA,CAMPAMENTO,Municipio,-75.298091,6.979771,,210762999.67974555,51,59,1.75,0.0000,59.3,71.75807278,,0,1.0,0.0,ZOMAC-NO 170,ZOMAC-NO 52,53.34517038,0.0,72.18,0.2972169683869224,0.0,0.0,0.0,0.0,72.18,3.99535575,1.0,1.5283795,-0.60931468,2.59097684,2.17422517,1.19646756,0.60442962,Alto,Remota,1.51,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5138,05138,5,ANTIOQUIA,CAÑASGORDAS,Municipio,-76.028228,6.753859,,372038131.0622076,122,176,2.96,0.0000,45.3,48.86689878,,0,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,47.33870532,53.18,0.331809467630143,0.0073735437251142,0.0073735437251142,0.0,0.0221206311753428,53.18,0.0,0.02068736,0.38928873,-0.60931468,-0.43744925,-0.46569686,-0.20388773,0.26879933,Bajo,Presencial,2.05,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5142,05142,5,ANTIOQUIA,CARACOLÍ,Municipio,-74.757421,6.409829,,267755318.3654192,0,0,0.0,0.0000,35.9,41.45936982,,0,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,35.76436535,58.37,0.3034134007585335,0.0,0.0,0.0,0.0,58.37,0.0,0.02720025,0.70044037,-0.60931468,-0.43744925,-0.44814012,-0.09235114,0.29553187,Medio,Presencial con precaución,0.0,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5145,05145,5,ANTIOQUIA,CARAMANTA,Municipio,-75.643868,5.54853,,93474633.8663662,42,43,2.88,0.0000,"30,5",20.19793981,,0,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,69.81,41.62,0.3513703443429374,0.0,0.0,0.0,0.0234246896228624,41.62,0.0,0.0141223,-0.30375807,-0.60931468,-0.43744925,-0.48339421,-0.44910871,0.21002597,Bajo,Presencial,2.81,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5147,05147,5,ANTIOQUIA,CAREPA,Municipio,-76.652652,7.755148,,396282577.092164,6,16,0.25,0.0000,34.4,15.33036946,EGC,1,1.0,1.0,ZOMAC-170,ZOMAC-NO 52,0.0,14.87124524,50.01,25.101545253863133,0.0022075055187637,0.0022075055187637,0.0022075055187637,0.1501103752759381,50.01,0.0,0.06300703,0.19924043,0.82391607,-0.43744925,-0.3516162,0.17667669,0.36001115,Medio,Presencial con precaución,0.09,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5148,05148,5,ANTIOQUIA,EL CARMEN DE VIBORAL,Municipio,-75.333901,6.082885,,430931018.8663288,8,9,0.13,0.0000,18.5,14.00451257,,0,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,20.69573196,61.55,0.2891467373055255,0.0,0.0,0.0,0.0485020333544752,61.55,0.0,0.04609201,0.89108819,-0.60931468,-0.43744925,-0.39721381,-0.01798546,0.31335548,Medio,Presencial con precaución,0.12,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5150,05150,5,ANTIOQUIA,CAROLINA,Municipio,-75.283192,6.725995,,152603557.092507,0,0,0.0,0.0000,20.4,0.0,,0,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,21.46104959,58.9,1.144578313253012,0.0,0.0301204819277108,0.0,0.2409638554216867,58.9,0.0,0.04452152,0.732215,-0.60931468,-0.43744925,-0.40144738,-0.07422611,0.29987599,Medio,Presencial con precaución,0.0,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5154,05154,5,ANTIOQUIA,CAUCASIA,Municipio,-75.197996,7.977278,,1465458119.5714538,0,0,0.0,0.0000,36,65.43766551,EGC,1,1.0,1.0,ZOMAC-170,ZOMAC-NO 52,5.789398335,0.0,62.97,4.0741661634639295,0.0047360257639801,0.001184006440995,0.001184006440995,1.272806924069667,62.97,1.91536233,1.0,0.97622023,0.82391607,1.01436971,2.17422517,1.11785962,0.58558925,Alto,Remota,0.0,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5172,05172,5,ANTIOQUIA,CHIGORODÓ,Municipio,-76.681531,7.666147,,737954275.0578071,63,64,0.54,0.0000,37.7,20.88856753,EGC,1,1.0,1.0,ZOMAC-170,ZOMAC-NO 52,13.23291048,0.0,51.99,49.555419561539296,0.0017999208034846,0.0017999208034846,0.0053997624104539,3.995824183735915,51.99,2.65555692,1.0,0.31794568,0.82391607,1.57542729,2.17422517,0.99967504,0.55726335,Alto,Remota,0.53,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5190,05190,5,ANTIOQUIA,CISNEROS,Municipio,-75.087047,6.537829,,47851023.15840334,0,0,0.0,0.0000,"28,8",47.97543658,,0,0.0,0.0,No es PDET O ZOMAC,No es PDET O ZOMAC,0.0,38.86,52.51,1.2372061635361602,0.0,0.0,0.0,0.0674839725565178,52.51,0.0,0.02508781,0.34912079,-0.60931468,-0.43744925,-0.45383462,-0.21616717,0.26585626,Bajo,Presencial,0.0,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
5197,05197,5,ANTIOQUIA,COCORNÁ,Municipio,-75.185483,6.058295,,245964516.89584705,0,0,0.0,0.0000,42.9,42.29351701,,0,1.0,0.0,No,No,0.0,14.36619347,55.24,0.5781133102088009,0.0,0.0,0.00680133306128,0.0,55.24,0.0,0.06507793,0.51279015,-0.60931468,-0.43744925,-0.3460337,-0.14271276,0.28346145,Medio,Presencial con precaución,0.0,NO,SIN_IMPUTACION,OK,SIN_IMPUTACION,OK
